Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction
2023/06/09 2:49:20 PM GMT+5:30,67,Male,Less than once a month,Beauty and Personal Care;Clothing and Fashion;others,Yes,Multiple times a day,others,Multiple pages,5,Maybe,Rarely,High shipping costs,Always,Yes,Never,Sometimes,4,Yes,1,1,Customer service,Add more familiar brands to the list,347075
2023/06/04 9:40:54 PM GMT+5:30,23,Prefer not to say,Few times a month,Beauty and Personal Care,No,Multiple times a day,Filter,Multiple pages,2,No,Sometimes,Changed my mind or no longer need the item,Rarely,Yes,Moderately,Sometimes,5,Yes,4,3,All the above,Add more familiar brands to the list,582646
2023/06/11 11:15:37 PM GMT+5:30,4,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Rarely,Filter,Multiple pages,1,No,Always,Found a better price elsewhere,Always,Yes,Moderately,Sometimes,4,No,5,4,Quick delivery,User interface ,782580
2023/06/09 12:22:47 PM GMT+5:30,15,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care,Yes,Multiple times a day,nan,First page,3,Maybe,Sometimes,others,Always,No,Never,Yes,1,Sometimes,4,5,Product recommendations,Irrelevant product suggestions,221556
2023/06/04 9:29:59 PM GMT+5:30,8,Male,Once a week,others,Yes,Rarely,categories,Multiple pages,5,No,Rarely,others,Always,No,Moderately,Sometimes,1,Sometimes,1,5,.,I don't have any problem with Amazon,947768
2023/06/08 5:36:14 PM GMT+5:30,58,Others,Multiple times a week,Beauty and Personal Care;others,Sometimes,Few times a month,Keyword,First page,5,Maybe,Always,Changed my mind or no longer need the item,Always,Yes,Heavily,Sometimes,4,Yes,4,2,Competitive prices,User interface ,801564
2023/06/11 11:26:21 PM GMT+5:30,40,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Rarely,nan,Multiple pages,5,Maybe,Always,others,Always,Yes,Occasionally,No,1,No,2,3,.,Irrelevant product suggestions,840578
2023/06/08 6:00:20 PM GMT+5:30,40,Male,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Keyword,First page,1,Maybe,Often,Changed my mind or no longer need the item,Always,Yes,Heavily,Sometimes,3,Yes,5,2,User-friendly website/app interface,User interface ,588153
2023/06/06 7:11:13 PM GMT+5:30,32,Others,Once a month,Clothing and Fashion;Home and Kitchen,Yes,Few times a month,categories,First page,4,No,Never,High shipping costs,Always,No,Moderately,No,4,Sometimes,5,3,.,Quality of product is very poor according to the big offers,847143
2023/06/09 7:27:00 PM GMT+5:30,7,Female,Multiple times a week,Groceries and Gourmet Food,No,Few times a week,nan,First page,3,No,Sometimes,High shipping costs,Rarely,No,Rarely,Sometimes,4,Sometimes,3,1,Product recommendations,User interface of app,780586
2023/06/11 10:42:48 PM GMT+5:30,63,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Few times a month,Filter,First page,1,Maybe,Rarely,Changed my mind or no longer need the item,Sometimes,No,Heavily,Sometimes,5,No,1,1,Product recommendations,Nil,603451
2023/06/04 10:24:47 PM GMT+5:30,63,Male,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;others,No,Few times a month,Filter,Multiple pages,4,Maybe,Never,Changed my mind or no longer need the item,Sometimes,No,Rarely,No,2,Sometimes,1,2,Competitive prices,Reducing packaging waste,620510
2023/06/05 2:10:33 PM GMT+5:30,65,Male,Once a month,Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,Keyword,First page,4,Yes,Sometimes,High shipping costs,Rarely,Yes,Never,Yes,2,Sometimes,1,5,.,Quality of product is very poor according to the big offers,463233
2023/06/11 9:53:31 AM GMT+5:30,33,Others,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Yes,Rarely,Filter,First page,3,Maybe,Sometimes,others,Often,Yes,Rarely,No,5,Sometimes,4,1,All the above,Irrelevant product suggestions,503664
2023/06/05 8:43:26 AM GMT+5:30,15,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a week,nan,First page,2,Yes,Often,Changed my mind or no longer need the item,Often,Yes,Never,No,1,Sometimes,5,2,Customer service,Customer service responsiveness,248724
2023/06/12 3:51:31 PM GMT+5:30,28,Others,Multiple times a week,Clothing and Fashion,No,Few times a month,nan,Multiple pages,4,Maybe,Often,Found a better price elsewhere,Always,Yes,Heavily,Sometimes,1,No,1,4,Wide product selection,User interface ,860563
2023/06/09 4:30:15 PM GMT+5:30,50,Male,Once a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a week,nan,First page,2,Yes,Rarely,Found a better price elsewhere,Sometimes,Yes,Moderately,Yes,1,Yes,5,3,Wide product selection,No problems with Amazon,803164
2023/06/09 7:24:57 PM GMT+5:30,40,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Yes,Rarely,categories,Multiple pages,3,Maybe,Sometimes,others,Always,Yes,Occasionally,No,2,No,5,3,Customer service,User interface of app,381844
2023/06/07 3:58:52 PM GMT+5:30,21,Male,Once a week,Groceries and Gourmet Food;Clothing and Fashion,Yes,Few times a month,categories,First page,3,Maybe,Often,others,Never,No,Heavily,Yes,1,Yes,2,1,Product recommendations,Scrolling option would be much better than going to next page,590006
2023/06/06 6:40:27 PM GMT+5:30,4,Others,Once a month,Beauty and Personal Care;Home and Kitchen;others,Yes,Few times a week,Filter,First page,2,Maybe,Often,Changed my mind or no longer need the item,Sometimes,Yes,Never,Yes,3,Sometimes,3,3,Wide product selection,Product quality and accuracy,949371
2023/06/12 4:02:02 PM GMT+5:30,18,Prefer not to say,Once a month,Beauty and Personal Care;Home and Kitchen;others,Yes,Rarely,others,Multiple pages,4,Yes,Often,Changed my mind or no longer need the item,Rarely,No,Occasionally,No,3,Yes,5,3,Competitive prices,Reducing packaging waste,573764
2023/06/06 7:18:01 PM GMT+5:30,27,Female,Once a week,Clothing and Fashion;others,No,Few times a month,others,Multiple pages,3,Maybe,Always,High shipping costs,Rarely,No,Never,Yes,2,Sometimes,1,4,User-friendly website/app interface,Product quality and accuracy,785797
2023/06/07 9:18:55 PM GMT+5:30,33,Male,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,No,Few times a week,categories,First page,1,Maybe,Rarely,Changed my mind or no longer need the item,Never,No,Moderately,Sometimes,4,No,5,2,Competitive prices,UI,652159
2023/06/08 5:47:32 PM GMT+5:30,18,Female,Multiple times a week,Home and Kitchen;others,No,Multiple times a day,Filter,First page,4,No,Often,Found a better price elsewhere,Often,No,Moderately,No,5,Yes,2,1,User-friendly website/app interface,I have no problem with Amazon yet. But others tell me about the refund issues ,337148
2023/06/09 10:58:44 AM GMT+5:30,66,Male,Multiple times a week,Clothing and Fashion;others,No,Few times a month,others,Multiple pages,2,Yes,Often,Changed my mind or no longer need the item,Sometimes,No,Heavily,Sometimes,1,Sometimes,1,5,All the above,Shipping speed and reliability,661236
2023/06/06 8:46:03 AM GMT+5:30,33,Others,Once a month,Home and Kitchen;others,Yes,Multiple times a day,Filter,Multiple pages,1,Maybe,Rarely,Found a better price elsewhere,Often,No,Rarely,Sometimes,4,Sometimes,2,5,User-friendly website/app interface,No problems with Amazon,339943
2023/06/09 10:26:51 AM GMT+5:30,30,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Rarely,nan,First page,4,Maybe,Often,others,Never,Yes,Moderately,Yes,4,No,1,1,Wide product selection,No problems with Amazon,878724
2023/06/07 11:06:40 PM GMT+5:30,17,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,nan,First page,1,Yes,Sometimes,High shipping costs,Always,No,Never,Yes,1,No,3,1,Customer service,Product quality and accuracy,299566
2023/06/10 10:49:42 AM GMT+5:30,33,Prefer not to say,Once a month,Clothing and Fashion,Sometimes,Few times a month,Filter,Multiple pages,5,Yes,Never,High shipping costs,Always,Yes,Moderately,Sometimes,3,Yes,3,4,Customer service,.,931962
2023/06/07 12:23:07 PM GMT+5:30,35,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Sometimes,Rarely,categories,First page,4,Yes,Rarely,High shipping costs,Sometimes,No,Moderately,No,5,Yes,2,5,User-friendly website/app interface,better app interface and lower shipping charges,270972
2023/06/08 5:42:27 PM GMT+5:30,5,Others,Multiple times a week,Beauty and Personal Care;Home and Kitchen;others,Sometimes,Multiple times a day,Filter,Multiple pages,1,Maybe,Sometimes,High shipping costs,Rarely,Yes,Rarely,Yes,3,Sometimes,5,5,.,Scrolling option would be much better than going to next page,417413
2023/06/07 5:58:12 PM GMT+5:30,13,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,No,Few times a week,Filter,Multiple pages,3,Yes,Often,Found a better price elsewhere,Sometimes,Yes,Heavily,Sometimes,1,No,3,2,Product recommendations,UI,549951
2023/06/06 6:41:11 PM GMT+5:30,28,Female,Few times a month,others,Yes,Few times a month,others,First page,5,No,Always,Changed my mind or no longer need the item,Rarely,Yes,Never,No,3,No,1,2,User-friendly website/app interface,Product quality and accuracy,291107
2023/06/09 7:23:09 PM GMT+5:30,46,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Rarely,others,Multiple pages,3,Maybe,Never,others,Sometimes,No,Never,Sometimes,5,No,4,4,Wide product selection,Nil,747553
2023/06/09 3:00:03 PM GMT+5:30,4,Female,Once a month,others,Sometimes,Multiple times a day,nan,First page,2,Maybe,Always,High shipping costs,Always,No,Never,Sometimes,5,No,2,4,Customer service ,User interface of app,476446
2023/06/11 11:04:17 PM GMT+5:30,62,Female,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Few times a week,nan,First page,3,Yes,Often,Found a better price elsewhere,Never,Yes,Never,Sometimes,4,Sometimes,5,2,All the above,Customer service responsiveness,832584
2023/06/04 11:24:41 PM GMT+5:30,29,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,No,Rarely,nan,First page,1,No,Sometimes,Changed my mind or no longer need the item,Always,No,Heavily,Sometimes,1,Yes,2,3,Competitive prices,Reducing packaging waste,111734
2023/06/05 9:58:17 PM GMT+5:30,50,Prefer not to say,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,No,Rarely,others,First page,3,Maybe,Often,others,Sometimes,Yes,Rarely,No,5,No,5,2,Product recommendations,Customer service responsiveness,351219
2023/06/04 9:40:54 PM GMT+5:30,8,Female,Multiple times a week,Beauty and Personal Care;Home and Kitchen,Sometimes,Multiple times a day,nan,Multiple pages,4,No,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,Rarely,No,4,Sometimes,4,1,Competitive prices,I don't have any problem with Amazon,547092
2023/06/09 10:26:01 AM GMT+5:30,35,Prefer not to say,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a month,Filter,First page,4,No,Often,High shipping costs,Often,No,Heavily,Sometimes,1,Yes,1,3,Wide product selection,Product quality and accuracy,764698
2023/06/07 11:03:50 PM GMT+5:30,35,Female,Once a week,Clothing and Fashion,No,Few times a month,nan,Multiple pages,1,Yes,Never,Found a better price elsewhere,Often,No,Heavily,Yes,1,Yes,3,2,Product recommendations,Nil,664253
2023/06/07 11:46:52 AM GMT+5:30,12,Female,Multiple times a week,Beauty and Personal Care;others,No,Multiple times a day,Filter,First page,5,Maybe,Always,others,Often,Yes,Never,No,1,Sometimes,1,2,User-friendly website/app interface,Reducing packaging waste,436072
2023/06/05 12:05:20 AM GMT+5:30,60,Others,Once a month,Beauty and Personal Care,Yes,Rarely,categories,Multiple pages,3,Maybe,Rarely,others,Sometimes,No,Occasionally,Sometimes,1,Sometimes,3,2,Product recommendations,Add more familiar brands to the list,369083
2023/06/07 10:21:00 PM GMT+5:30,4,Others,Once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,nan,Multiple pages,2,Yes,Never,Found a better price elsewhere,Rarely,No,Moderately,No,4,No,5,2,Competitive prices,I have no problem with Amazon yet. But others tell me about the refund issues ,128637
2023/06/09 2:23:45 PM GMT+5:30,38,Prefer not to say,Once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Sometimes,Multiple times a day,Keyword,Multiple pages,2,No,Rarely,others,Always,No,Occasionally,No,2,No,4,1,All the above,No problems with Amazon,932831
2023/06/05 8:07:52 PM GMT+5:30,15,Male,Few times a month,Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,Keyword,First page,2,Yes,Often,Changed my mind or no longer need the item,Always,Yes,Moderately,Yes,5,Sometimes,4,1,Customer service ,Reducing packaging waste,593673
2023/06/04 9:40:54 PM GMT+5:30,12,Others,Once a week,Groceries and Gourmet Food,Yes,Few times a month,Keyword,Multiple pages,1,No,Rarely,High shipping costs,Always,Yes,Rarely,Sometimes,1,No,3,5,Customer service ,User interface ,338515
2023/06/08 10:13:41 PM GMT+5:30,52,Male,Once a week,Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,nan,First page,2,No,Rarely,Changed my mind or no longer need the item,Often,Yes,Heavily,No,2,Sometimes,2,3,Competitive prices,Nil,265094
2023/06/07 10:58:27 AM GMT+5:30,20,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,categories,Multiple pages,2,Yes,Always,High shipping costs,Rarely,Yes,Moderately,Yes,3,Sometimes,4,3,Customer service,.,403112
2023/06/08 5:08:27 PM GMT+5:30,34,Male,Once a month,Groceries and Gourmet Food,No,Multiple times a day,nan,Multiple pages,5,Maybe,Sometimes,others,Often,Yes,Rarely,Yes,1,Yes,1,4,Competitive prices,Nothing,285241
2023/06/04 7:33:12 PM GMT+5:30,26,Prefer not to say,Few times a month,Beauty and Personal Care;Home and Kitchen,No,Multiple times a day,Filter,First page,4,No,Sometimes,Found a better price elsewhere,Never,No,Occasionally,Yes,5,No,1,1,.,UI,882447
2023/06/12 3:49:27 PM GMT+5:30,45,Others,Once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a week,categories,Multiple pages,1,No,Sometimes,Changed my mind or no longer need the item,Rarely,Yes,Occasionally,Yes,2,No,5,3,.,Scrolling option would be much better than going to next page,741348
2023/06/06 6:41:11 PM GMT+5:30,31,Others,Once a week,Home and Kitchen;others,Sometimes,Multiple times a day,others,Multiple pages,1,Yes,Often,Found a better price elsewhere,Rarely,No,Never,Yes,4,Sometimes,5,3,User-friendly website/app interface,Nothing,538265
2023/06/09 7:22:11 PM GMT+5:30,3,Female,Once a week,Home and Kitchen,No,Few times a week,nan,Multiple pages,1,No,Always,others,Never,No,Rarely,Sometimes,2,Sometimes,1,1,Quick delivery,Product quality and accuracy,363294
2023/06/11 11:25:48 PM GMT+5:30,39,Male,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Sometimes,Rarely,Filter,Multiple pages,3,Maybe,Rarely,Found a better price elsewhere,Often,No,Moderately,Sometimes,5,Yes,3,4,.,Irrelevant product suggestions,494254
2023/06/09 3:47:38 AM GMT+5:30,62,Prefer not to say,Once a week,Groceries and Gourmet Food;Clothing and Fashion;others,Sometimes,Few times a month,Keyword,First page,4,Yes,Rarely,High shipping costs,Never,No,Moderately,No,2,Sometimes,1,2,Customer service,Nothing,368114
2023/06/09 3:07:36 PM GMT+5:30,10,Others,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;others,No,Few times a month,nan,Multiple pages,1,No,Never,others,Often,No,Rarely,Sometimes,4,Sometimes,4,4,Competitive prices,Nil,600903
2023/06/06 6:40:27 PM GMT+5:30,33,Prefer not to say,Once a month,Clothing and Fashion;Home and Kitchen,Yes,Rarely,nan,Multiple pages,1,Yes,Always,Changed my mind or no longer need the item,Never,No,Occasionally,Yes,4,Sometimes,3,3,Customer service ,User interface of app,322460
2023/06/09 2:51:07 PM GMT+5:30,26,Female,Multiple times a week,Groceries and Gourmet Food;Home and Kitchen;others,Yes,Rarely,others,Multiple pages,3,No,Rarely,Found a better price elsewhere,Rarely,No,Heavily,Yes,4,No,4,3,Customer service ,better app interface and lower shipping charges,916792
2023/06/12 2:54:13 PM GMT+5:30,63,Others,Once a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,No,Multiple times a day,Filter,First page,2,Maybe,Sometimes,High shipping costs,Often,No,Occasionally,Yes,4,Sometimes,4,5,Customer service ,User interface ,998404
2023/06/09 10:24:58 AM GMT+5:30,27,Others,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Sometimes,Rarely,nan,Multiple pages,1,Yes,Often,others,Rarely,Yes,Rarely,Yes,1,Sometimes,4,3,User-friendly website/app interface,UI,445722
2023/06/08 5:40:49 PM GMT+5:30,49,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,No,Few times a week,categories,Multiple pages,5,Yes,Never,others,Often,No,Never,Yes,1,No,5,3,Customer service,better app interface and lower shipping charges,638197
2023/06/07 10:56:11 AM GMT+5:30,32,Female,Once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Keyword,Multiple pages,5,Yes,Often,High shipping costs,Never,Yes,Moderately,Yes,4,No,2,2,User-friendly website/app interface,UI,258965
2023/06/06 8:01:47 PM GMT+5:30,49,Female,Few times a month,Home and Kitchen,Sometimes,Few times a week,others,First page,4,Yes,Never,Found a better price elsewhere,Often,No,Occasionally,Yes,3,No,2,2,Competitive prices,Reducing packaging waste,407946
2023/06/08 5:38:57 PM GMT+5:30,57,Others,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Yes,Few times a week,others,Multiple pages,3,No,Often,Found a better price elsewhere,Rarely,No,Heavily,Sometimes,4,No,2,1,User-friendly website/app interface,UI,169136
2023/06/09 3:00:03 PM GMT+5:30,53,Male,Less than once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Multiple times a day,others,First page,5,No,Always,Found a better price elsewhere,Rarely,Yes,Never,Sometimes,5,Sometimes,1,5,.,I have no problem with Amazon yet. But others tell me about the refund issues ,980160
2023/06/06 7:10:14 PM GMT+5:30,24,Female,Multiple times a week,Groceries and Gourmet Food;Home and Kitchen;others,Sometimes,Few times a week,Filter,Multiple pages,2,Yes,Sometimes,others,Always,No,Heavily,No,4,No,5,2,All the above,better app interface and lower shipping charges,778802
2023/06/07 2:23:02 PM GMT+5:30,32,Prefer not to say,Once a month,Beauty and Personal Care;others,Sometimes,Few times a week,nan,Multiple pages,5,Yes,Rarely,High shipping costs,Rarely,Yes,Occasionally,No,4,No,1,5,Customer service ,UI,866999
2023/06/04 8:52:49 PM GMT+5:30,5,Prefer not to say,Multiple times a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,No,Multiple times a day,nan,Multiple pages,4,Yes,Always,others,Often,No,Rarely,Yes,3,Sometimes,3,2,Product recommendations,Nothing,785998
2023/06/07 1:04:07 PM GMT+5:30,5,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Multiple times a day,Keyword,First page,3,No,Always,High shipping costs,Never,Yes,Heavily,No,1,Yes,1,5,User-friendly website/app interface,Scrolling option would be much better than going to next page,971725
2023/06/08 5:55:15 PM GMT+5:30,54,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Yes,Rarely,others,Multiple pages,3,No,Rarely,others,Sometimes,Yes,Heavily,No,4,Yes,4,2,Competitive prices,No problems with Amazon,472074
2023/06/11 10:56:58 PM GMT+5:30,10,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,others,Multiple pages,2,Yes,Never,High shipping costs,Rarely,No,Occasionally,No,2,Yes,3,5,.,Nil,971775
2023/06/04 11:57:10 PM GMT+5:30,32,Male,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Yes,Multiple times a day,Filter,First page,4,Yes,Rarely,Changed my mind or no longer need the item,Often,No,Rarely,Yes,5,Yes,4,2,All the above,Customer service responsiveness,567869
2023/06/04 8:00:11 PM GMT+5:30,43,Male,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,Yes,Rarely,Keyword,First page,1,Yes,Always,Found a better price elsewhere,Always,Yes,Never,Yes,4,Yes,1,1,Competitive prices,Customer service responsiveness,882534
2023/06/07 9:54:24 PM GMT+5:30,8,Others,Multiple times a week,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,Keyword,First page,3,Yes,Rarely,High shipping costs,Often,Yes,Rarely,Yes,4,Yes,2,3,User-friendly website/app interface,Reducing packaging waste,149477
2023/06/06 6:40:27 PM GMT+5:30,44,Others,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Few times a week,Filter,First page,4,Yes,Always,Changed my mind or no longer need the item,Often,Yes,Never,Sometimes,2,Yes,5,1,Wide product selection,Scrolling option would be much better than going to next page,542943
2023/06/11 11:16:18 PM GMT+5:30,57,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Yes,Few times a month,Filter,First page,5,No,Always,Found a better price elsewhere,Rarely,No,Never,No,3,Sometimes,5,4,.,User interface ,392090
2023/06/09 2:41:53 PM GMT+5:30,45,Others,Once a month,Clothing and Fashion;others,No,Multiple times a day,others,First page,3,Yes,Never,others,Never,Yes,Heavily,Sometimes,5,Sometimes,5,1,.,No problems with Amazon,107161
2023/06/06 7:40:53 PM GMT+5:30,34,Female,Once a month,Groceries and Gourmet Food,Yes,Multiple times a day,categories,Multiple pages,3,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Never,Yes,3,No,2,3,Customer service ,Quality of product is very poor according to the big offers,714996
2023/06/11 11:26:21 PM GMT+5:30,31,Others,Less than once a month,Clothing and Fashion;Home and Kitchen;others,No,Few times a week,Filter,Multiple pages,1,Yes,Always,High shipping costs,Always,Yes,Heavily,Yes,4,Sometimes,4,5,All the above,Reducing packaging waste,592229
2023/06/05 4:46:52 PM GMT+5:30,9,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,nan,First page,1,No,Rarely,others,Often,Yes,Rarely,Yes,1,Yes,5,1,Quick delivery,UI,366025
2023/06/06 9:59:35 AM GMT+5:30,41,Male,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a week,Keyword,Multiple pages,5,Yes,Rarely,Changed my mind or no longer need the item,Never,No,Moderately,No,5,No,3,2,Wide product selection,Shipping speed and reliability,850396
2023/06/09 2:36:46 PM GMT+5:30,41,Others,Once a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a week,categories,First page,3,No,Rarely,Found a better price elsewhere,Rarely,Yes,Occasionally,Yes,1,Sometimes,5,1,Quick delivery,I don't have any problem with Amazon,822360
2023/06/11 10:55:58 PM GMT+5:30,22,Female,Once a month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a week,nan,First page,4,No,Never,High shipping costs,Never,Yes,Moderately,No,2,Sometimes,2,1,Customer service,Product quality and accuracy,184273
2023/06/08 10:24:19 PM GMT+5:30,37,Others,Multiple times a week,Groceries and Gourmet Food;Home and Kitchen;others,Sometimes,Rarely,nan,Multiple pages,3,Yes,Always,others,Often,Yes,Rarely,Sometimes,3,No,3,2,Customer service,User interface ,895363
2023/06/09 3:16:30 PM GMT+5:30,40,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Few times a month,Keyword,First page,3,Yes,Always,Found a better price elsewhere,Sometimes,Yes,Rarely,No,3,Sometimes,3,3,Wide product selection,Nothing,957729
2023/06/11 11:26:54 PM GMT+5:30,27,Female,Multiple times a week,Clothing and Fashion;Home and Kitchen,Yes,Rarely,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,No,Occasionally,Sometimes,2,Sometimes,3,5,Quick delivery,Reducing packaging waste,545949
2023/06/11 11:20:18 PM GMT+5:30,42,Female,Multiple times a week,Beauty and Personal Care,Yes,Multiple times a day,others,Multiple pages,2,Maybe,Often,others,Rarely,No,Never,Yes,3,No,1,1,Quick delivery,.,141952
2023/06/11 11:28:26 PM GMT+5:30,22,Others,Less than once a month,Clothing and Fashion;others,No,Rarely,Filter,Multiple pages,4,Maybe,Rarely,others,Always,Yes,Moderately,No,1,Yes,1,2,.,Customer service responsiveness,388751
2023/06/08 5:28:47 PM GMT+5:30,38,Female,Less than once a month,Clothing and Fashion;Home and Kitchen;others,No,Multiple times a day,nan,Multiple pages,4,Maybe,Often,Found a better price elsewhere,Often,No,Moderately,No,5,Sometimes,2,5,Customer service,Scrolling option would be much better than going to next page,644739
2023/06/07 10:58:04 PM GMT+5:30,39,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a month,Filter,First page,4,No,Never,Found a better price elsewhere,Sometimes,No,Moderately,Yes,3,Sometimes,1,1,Wide product selection,Reducing packaging waste,748685
2023/06/08 5:13:33 PM GMT+5:30,60,Female,Once a month,Clothing and Fashion,Sometimes,Rarely,nan,First page,5,Maybe,Always,others,Always,No,Moderately,Sometimes,2,No,4,5,All the above,Irrelevant product suggestions,478629
2023/06/05 10:07:31 PM GMT+5:30,22,Prefer not to say,Few times a month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Rarely,others,First page,5,Maybe,Rarely,others,Sometimes,No,Never,Yes,4,Yes,2,1,Wide product selection,Irrelevant product suggestions,243256
2023/06/06 4:25:49 PM GMT+5:30,21,Others,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;others,Yes,Few times a week,others,First page,5,No,Sometimes,Found a better price elsewhere,Rarely,Yes,Heavily,Sometimes,1,Sometimes,4,5,Customer service,Product quality and accuracy,176193
2023/06/07 4:46:12 PM GMT+5:30,28,Female,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;others,No,Rarely,others,First page,5,No,Sometimes,others,Rarely,No,Moderately,Sometimes,2,No,1,1,User-friendly website/app interface,User interface ,769510
2023/06/06 1:06:16 PM GMT+5:30,35,Female,Few times a month,others,Sometimes,Few times a week,Keyword,Multiple pages,2,Maybe,Never,others,Often,Yes,Moderately,Sometimes,2,Sometimes,5,4,Quick delivery,Scrolling option would be much better than going to next page,713120
2023/06/07 1:05:41 PM GMT+5:30,51,Others,Few times a month,Beauty and Personal Care;others,No,Rarely,Keyword,First page,2,Yes,Often,Found a better price elsewhere,Always,No,Never,Sometimes,3,Sometimes,1,4,User-friendly website/app interface,No problems with Amazon,550369
2023/06/08 9:17:38 PM GMT+5:30,19,Others,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion;others,No,Rarely,others,First page,3,No,Never,others,Rarely,No,Rarely,Yes,3,Sometimes,5,4,Competitive prices,Quality of product is very poor according to the big offers,284187
